Forum|Post
1|23107
7|27342
9|38756
10|6297
13|33969
15|10437
17|74019
18|94726
21|34336
23|17398
24|78179
25|66081
28|41931
30|31422
32|25556
38|72285
40|74818
44|30056
45|91804
50|13557
53|3517
58|96357
60|39473
63|88066
64|52288
65|8981
70|75959
71|61967
72|333
73|48832
75|9233
77|39901
78|78679
79|52211
83|70150
84|84241
86|53436
33|58159
90|3440
93|38578
94|69883
81|60307
99|10213
43|86027
100|22890
101|81097
102|42091
103|68322
104|22897
106|30243
105|33153
107|40600
109|40677
110|70300
114|22669
115|22444
116|96509
119|90735
120|34721
123|74435
125|90026
126|50584
129|36600
0|57124
130|7570
135|61027
82|49201
136|25117
139|19630
140|82196
144|15143
147|58958
148|11305
149|11668
59|14056
150|85570
154|28940
155|35103
156|38795
6|78505
159|58388
112|75132
161|1977
141|40282
165|56964
168|46415
175|7121
176|21060
128|73848
178|79208
179|67626
181|11566
183|58333
184|21077
185|74707
186|7330
190|12342
191|22357
193|25861
194|93821
196|69138
198|40168
188|62628
201|79482
204|52275
205|89250
209|44382
210|75534
212|44523
214|23512
216|66192
217|11302
218|39674
219|68236
220|90309
224|56699
226|81955
227|69498
229|44300
213|7919
232|58280
236|40865
237|84766
238|45536
19|98219
243|31621
244|13566
245|2405
246|60620
250|62156
251|9344
252|75092
256|42242
257|46758
261|54746
262|21959
263|97623
267|50616
270|52180
271|85733
276|58239
277|21038
279|15009
280|90315
283|11041
284|43521
285|82869
52|68276
288|17287
29|59199
289|91708
281|91293
290|95664
292|30065
293|3900
207|66712
298|25950
299|48420
300|36103
302|80654
303|28741
304|78878
305|98995
308|28285
309|87271
46|22418
223|11811
310|73694
312|25470
313|1493
314|29607
315|88345
318|55387
320|88201
321|52490
325|58287
133|51791
269|9924
328|50133
5|13794
332|46772
326|43642
333|87229
335|33859
319|37985
337|99713
338|39796
339|79240
340|49197
343|96862
35|79617
344|65701
348|51364
351|40507
352|81859
353|12225
55|92291
354|49122
355|70723
200|26914
295|2889
356|11865
357|37430
358|90846
172|23098
359|76766
360|53595
76|45417
206|675
362|12246
174|79651
361|12128
363|92475
366|63415
16|7617
26|62967
367|75557
89|43405
368|21192
369|24042
374|36319
121|40609
122|15811
375|43556
376|7623
377|79306
378|48092
379|54279
381|40657
383|46448
387|98150
390|66701
391|43278
392|48237
394|93715
396|79153
397|79113
398|3046
399|4573
400|9560
401|24783
404|33277
406|1985
409|1981
410|35427
278|91229
411|95290
169|26913
413|27492
414|62325
331|99909
415|15264
329|11793
418|26817
385|33312
419|27234
57|48382
421|43463
423|97235
424|20225
426|10319
427|28705
428|95938
429|55178
431|54024
432|19669
433|48970
434|46856
435|9137
85|3349
436|48601
294|76079
438|72839
439|60685
235|95452
440|4823
442|84801
444|33424
448|26985
416|73796
449|45519
350|28379
450|38559
451|39053
452|79724
195|90745
454|97918
166|32830
457|58816
458|50588
266|67919
459|63518
56|41310
460|41177
425|97782
461|24355
465|54537
466|86823
388|77871
474|6384
137|72906
346|18726
475|19743
467|68365
477|96045
160|29476
478|42458
479|18428
480|50493
481|74895
482|86374
484|22802
485|33319
486|95717
27|32742
487|53770
490|9193
491|47007
492|54713
493|97416
494|59799
66|172
496|22922
499|24817
501|83914
211|46210
503|77760
505|22453
508|61269
509|27394
443|1630
510|6174
389|67056
514|59659
167|26705
347|60819
464|271
518|966
519|96179
341|7905
520|51495
521|50129
523|11067
525|47278
334|614
526|2898
134|57743
342|24453
527|40339
530|99378
365|74456
532|74975
533|1105
138|26824
534|58687
535|8891
538|56145
542|64589
543|47845
544|50702
221|10545
230|5055
286|37807
545|60151
547|17161
62|58822
197|60786
548|52542
373|83992
498|6172
550|59716
551|83292
552|33992
553|99024
554|31502
323|57882
555|79897
556|9948
258|41901
558|58821
559|5628
296|41767
561|58369
4|98327
565|8240
422|56094
567|11530
441|15332
568|44342
571|75327
572|22618
145|13834
573|97904
471|92635
576|60512
577|81943
578|36415
579|50855
581|8358
384|88617
582|84335
584|29614
48|76110
96|53511
170|78945
586|67300
95|50108
589|97975
495|51185
517|24887
592|80414
80|54829
152|94599
593|76212
199|88506
594|72551
92|16200
596|85251
597|12787
599|95959
316|51709
537|95832
600|54885
601|89272
602|33073
605|82972
606|24899
469|33844
607|92272
608|88462
610|50824
507|85135
541|57359
611|52607
11|80715
612|15167
613|38071
34|43427
614|31875
41|34977
511|32854
615|86877
570|37766
616|21040
275|84987
617|65442
618|10464
619|76657
620|49493
472|77850
621|240
622|43019
624|95119
625|72703
31|86878
626|24738
39|13467
628|23602
629|15094
164|70885
248|84883
273|24375
630|29217
633|12738
265|40377
634|14016
635|57925
636|44210
637|82855
638|82937
640|59519
393|49684
641|78595
74|13591
643|22177
644|38361
255|66132
403|47970
645|94072
646|24201
647|62557
648|67814
264|39561
649|40960
650|60758
651|49825
54|77762
654|32498
402|28813
655|86000
171|27330
656|49640
657|48998
463|577
660|38834
153|71698
591|42758
661|16730
268|32343
662|94863
663|13733
664|81241
228|56281
665|77404
666|23646
233|4180
667|72744
668|224
669|64609
670|46205
652|98310
672|16989
51|20270
673|78354
675|10306
291|44112
524|31483
676|46674
215|93477
678|95678
47|19986
468|20973
681|87460
301|51403
682|52818
684|8449
395|76651
685|55947
686|55756
420|24559
687|80077
688|16500
689|57637
97|51597
690|63683
61|37051
691|75119
692|95560
693|45571
588|68196
696|99610
697|29379
327|74787
698|64458
699|91488
700|8554
701|15298
598|26812
702|89338
703|2789
704|10419
297|8178
456|35414
706|51588
240|73116
707|99827
330|65443
653|46881
708|42050
117|70488
710|59397
711|45400
536|99112
712|27814
713|41548
437|16390
714|19860
715|99020
716|79
455|53851
717|88791
98|65258
473|19964
718|33323
528|73522
531|90811
575|48373
719|21050
512|58725
720|58559
8|18360
674|43305
721|50216
202|66490
430|30874
445|31744
722|82305
336|16524
453|91684
723|77868
724|5923
282|37185
725|90164
127|65697
727|19020
728|21715
566|89195
729|26478
37|41293
364|17821
371|69449
730|81753
549|42100
731|35308
118|11020
733|56077
177|49224
734|50047
162|11227
735|68676
736|97125
560|1407
642|22223
737|70666
12|77429
14|6856
67|90834
738|38614
739|95968
726|40292
740|17820
187|56804
741|11233
247|29362
742|51758
585|93929
743|84688
744|46694
529|44398
671|93772
745|89232
746|62739
748|22580
88|51516
631|48809
709|39023
750|89694
751|32749
108|78992
752|77236
562|43226
753|87517
68|38647
754|58985
755|49458
49|13824
756|99711
623|623
757|3235
208|15716
758|73925
91|37576
253|5755
762|23617
405|65140
763|40415
192|55359
287|26060
764|29518
417|13951
504|17387
765|8473
249|30156
307|51780
767|64361
768|50179
515|53518
769|77460
587|88885
770|22954
771|16436
36|75477
772|66466
773|98198
775|49940
777|26949
778|78415
779|68718
780|18688
782|26986
783|70013
386|52690
774|92384
784|69209
163|51143
639|27638
785|31359
234|66742
489|32280
786|94727
787|25709
488|1034
788|1196
22|85687
789|23813
790|88230
370|54141
677|7210
791|46202
583|28979
603|42401
792|48693
793|55495
794|31436
795|19413
796|5155
797|77741
609|51127
798|12602
254|45368
799|10503
800|37008
158|52588
801|2743
802|24938
241|91414
803|67702
87|99151
804|82709
142|6250
632|32859
766|855
781|82708
805|71760
806|94767
807|74259
808|33197
500|76273
809|56814
563|61250
810|44978
124|27438
143|91672
811|16507
812|7235
813|79427
814|27764
564|89597
683|68619
776|16042
815|59381
539|98046
816|3738
818|71703
324|24417
380|98616
382|60661
819|21312
817|48712
821|98719
822|1793
113|2609
239|61946
823|88412
658|39760
824|90467
825|22699
349|94598
826|300
151|74905
827|96193
829|70832
580|48552
830|4379
483|3074
820|34280
831|16168
760|59707
832|16496
833|47118
834|889
447|47886
835|64907
836|87003
2|98865
837|28310
838|82871
839|8150
840|86887
111|14303
604|74760
841|43250
69|15694
222|33015
842|79966
680|86935
843|82358
502|7600
844|54381
157|63584
845|39977
513|20399
846|92663
847|15010
848|69139
20|89482
189|87704
850|95716
851|28031
546|17807
852|44424
3|52943
231|17458
705|14591
853|68969
854|35853
855|66288
408|51240
679|22288
732|40822
857|51103
694|64551
858|66690
322|54556
497|92500
522|9188
859|26952
506|41676
695|9054
856|73070
860|4198
557|66234
861|27184
132|94965
862|3693
274|71332
863|90405
306|34812
345|22111
864|16850
865|18041
203|39481
866|48725
867|30795
260|22101
868|60749
761|17628
869|58686
146|87748
870|61463
407|36300
871|49569
540|81283
872|83201
873|79183
131|31168
874|95543
476|59164
875|4446
259|55257
828|90520
876|70249
759|79527
877|19161
878|97476
627|38243
879|97506
516|26357
880|33544
590|30834
881|62993
882|76628
883|29458
884|70513
242|17779
749|39486
885|97347
886|84377
887|1194
888|20207
180|86595
272|98898
317|64834
372|38114
574|88121
889|73161
462|26424
747|47620
890|91735
42|80792
569|68642
659|2868
891|82145
173|69007
225|78443
892|80714
893|51923
894|94916
311|52537
895|24775
896|60714
470|37865
897|76037
182|66052
898|67485
595|3531
899|87603
412|32033
446|30472
900|31436
849|71034
901|46772
902|20270
903|27234
